회사명,"수수료
부과기준",기준일자,거래금액,구분,증권사지점개설계좌,증권사지점개설계좌,증권사지점개설계좌,증권사지점개설계좌,은행개설계좌,은행개설계좌,은행개설계좌,은행개설계좌,비고
회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,온라인,온라인,온라인,오프라인,온라인,온라인,온라인,비고
회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,HTS,ARS,스마트폰,오프라인,HTS,ARS,스마트폰,비고
도이치증권,/img/sub/ico_pdf.gif,2014/12/17,100만원,변경후,"4,000.",,,,,,,,
DB금융투자,/img/sub/ico_pdf.gif,2015/01/02,100만원,변경후,"4,992.","1,992.","1,992.","1,992.","4,992.","1,992.","1,992.","1,992.",
DB금융투자,/img/sub/ico_pdf.gif,2015/01/02,100만원,변경율,0.,0.,0.,0.,0.,7.58621,0.,7.58621,
삼성증권,/img/sub/ico_doc.gif,2015/03/25,100만원,변경전,,,,,,,,,
신한금융투자,/img/sub/ico_xlsx.gif,2015/04/01,100만원,변경후,,,,,,,,,
신한금융투자,/img/sub/ico_xlsx.gif,2015/04/01,100만원,변경율,,,,,,,,,
케이프투자증권,/img/sub/ico_doc.gif,2015/04/20,100만원,변경후,"6,000.","3,000.",,900.,"6,000.",150.,,150.,"1. 고객등급 실버등급은 당일 종목당 매수/매도 매체별 합산 하여 50만원 미만시 종목당 500원 추가
2. 직전 3개월 거래월 평균 수수료+이자(신용/대출) 금액이 1만원 미만 계좌는 영업점 계좌 수수료율로 변경됨.(고객이 1만원 선취수수료 납부 시 납부월 무료수수료(유관기관 및 제비용 제외) 제공 및 은행지점계좌 수수료율 유지)"
케이프투자증권,/img/sub/ico_doc.gif,2015/04/20,100만원,변경율,0.,0.,,0.,0.,0.,,0.,
SK증권,/img/sub/ico_xls.gif,2015/06/01,100만원,변경후,"5,000.","2,500.","2,500.","2,500.","5,000.",150.,"2,500.","2,500.",
SK증권,/img/sub/ico_xls.gif,2015/06/01,100만원,변경율,0.,0.,0.,4.,0.,0.,0.,4.,
한화투자증권,/img/sub/ico_pdf.gif,2015/10/05,100만원,변경전,"29,500.","6,990.","11,990.","6,990.","29,500.","6,990.","11,990.","6,990.",
한화투자증권,/img/sub/ico_pdf.gif,2016/05/30,100만원,변경후,"4,970.","2,470.","1,970.","1,500.","4,970.","2,470.","1,970.","1,500.",
한화투자증권,/img/sub/ico_pdf.gif,2016/05/30,100만원,변경율,-0.83153,-0.64664,-0.8357,-0.78541,-0.83153,-0.64664,-0.8357,-0.78541,
비엔케이투자증권,/img/sub/ico_pdf.gif,2016/12/05,100만원,변경전,,,,"1,500.",,,,"1,500.",
미래에셋증권,/img/sub/ico_pdf.gif,2017/01/02,100만원,변경후,"4,900.","1,400.","1,400.","1,400.","4,900.",140.,140.,140.,
